index,label,description,units,sql_datatype,chart_datatype
1,TIMESTAMP,Unix integer timestamp,s,INTEGER,datetime
2,YEAR,Year of the observation,,INTEGER,number
3,MONTH,Month (1-12) of the observation,,INTEGER,number
4,DAY,Day of the month,,INTEGER,number
5,HOUR,Hour (0-23) of the observation,,INTEGER,number
6,MINUTE,Minute of the Hour (0-59),,INTEGER,number
7,DAYOFYEAR,Day of the Year,,INTEGER,number
8,CODE1,System Code 1 (not used in database),,DOUBLE,number
9,CODE2,System Code 2 (not used in database),,DOUBLE,number
10,CODE3,System Code 3 (not used in database),,DOUBLE,number
11,UGAAINV01INVSTATUS,Device Status,,DOUBLE,number
12,UGAAINV01ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
13,UGAAINV01ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
14,UGAAINV01DC1A,DC Current Input 1,A,DOUBLE,number
15,UGAAINV01DC1V,DC Voltage Input 1,V,DOUBLE,number
16,UGAAINV01DC1W,DC Power Input 1,W,DOUBLE,number
17,UGAAINV01ACW,Active Power Across all lines,W,DOUBLE,number
18,UGAAINV01ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
19,UGAAINV01ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
20,UGAAINV01ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
21,UGAAINV01ACL1A,Grid Current L1,A,DOUBLE,number
22,UGAAINV01ACL2A,Grid Current L2,A,DOUBLE,number
23,UGAAINV01ACL3A,Grid Current L3,A,DOUBLE,number
24,UGAAINV01ACVAR,Reactive Power across all lines,Var,DOUBLE,number
25,UGAAINV01DC2A,DC Current Input 2,I,DOUBLE,number
26,UGAAINV01DC2V,DC Voltage Input 2,V,DOUBLE,number
27,UGAAINV01DC2W,DC Power Input 2,W,DOUBLE,number
28,UGAAINV01ERR,Error Code,,DOUBLE,number
29,UGAAINV02INVSTATUS,Device Status,,DOUBLE,number
30,UGAAINV02ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
31,UGAAINV02ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
32,UGAAINV02DC1A,DC Current Input 1,A,DOUBLE,number
33,UGAAINV02DC1V,DC Voltage Input 1,V,DOUBLE,number
34,UGAAINV02DC1W,DC Power Input 1,W,DOUBLE,number
35,UGAAINV02ACW,Active Power Across all lines,W,DOUBLE,number
36,UGAAINV02ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
37,UGAAINV02ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
38,UGAAINV02ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
39,UGAAINV02ACL1A,Grid Current L1,A,DOUBLE,number
40,UGAAINV02ACL2A,Grid Current L2,A,DOUBLE,number
41,UGAAINV02ACL3A,Grid Current L3,A,DOUBLE,number
42,UGAAINV02ACVAR,Reactive Power across all lines,Var,DOUBLE,number
43,UGAAINV02DC2A,DC Current Input 2,I,DOUBLE,number
44,UGAAINV02DC2V,DC Voltage Input 2,V,DOUBLE,number
45,UGAAINV02DC2W,DC Power Input 2,W,DOUBLE,number
46,UGAAINV02ERR,Error Code,,DOUBLE,number
47,UGAAINV03INVSTATUS,Device Status,,DOUBLE,number
48,UGAAINV03ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
49,UGAAINV03ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
50,UGAAINV03DC1A,DC Current Input 1,A,DOUBLE,number
51,UGAAINV03DC1V,DC Voltage Input 1,V,DOUBLE,number
52,UGAAINV03DC1W,DC Power Input 1,W,DOUBLE,number
53,UGAAINV03ACW,Active Power Across all lines,W,DOUBLE,number
54,UGAAINV03ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
55,UGAAINV03ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
56,UGAAINV03ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
57,UGAAINV03ACL1A,Grid Current L1,A,DOUBLE,number
58,UGAAINV03ACL2A,Grid Current L2,A,DOUBLE,number
59,UGAAINV03ACL3A,Grid Current L3,A,DOUBLE,number
60,UGAAINV03ACVAR,Reactive Power across all lines,Var,DOUBLE,number
61,UGAAINV03DC2A,DC Current Input 2,I,DOUBLE,number
62,UGAAINV03DC2V,DC Voltage Input 2,V,DOUBLE,number
63,UGAAINV03DC2W,DC Power Input 2,W,DOUBLE,number
64,UGAAINV03ERR,Error Code,,DOUBLE,number
65,UGAAINV04INVSTATUS,Device Status,,DOUBLE,number
66,UGAAINV04ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
67,UGAAINV04ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
68,UGAAINV04DC1A,DC Current Input 1,A,DOUBLE,number
69,UGAAINV04DC1V,DC Voltage Input 1,V,DOUBLE,number
70,UGAAINV04DC1W,DC Power Input 1,W,DOUBLE,number
71,UGAAINV04ACW,Active Power Across all lines,W,DOUBLE,number
72,UGAAINV04ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
73,UGAAINV04ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
74,UGAAINV04ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
75,UGAAINV04ACL1A,Grid Current L1,A,DOUBLE,number
76,UGAAINV04ACL2A,Grid Current L2,A,DOUBLE,number
77,UGAAINV04ACL3A,Grid Current L3,A,DOUBLE,number
78,UGAAINV04ACVAR,Reactive Power across all lines,Var,DOUBLE,number
79,UGAAINV04DC2A,DC Current Input 2,I,DOUBLE,number
80,UGAAINV04DC2V,DC Voltage Input 2,V,DOUBLE,number
81,UGAAINV04DC2W,DC Power Input 2,W,DOUBLE,number
82,UGAAINV04ERR,Error Code,,DOUBLE,number
83,UGAAINV05INVSTATUS,Device Status,,DOUBLE,number
84,UGAAINV05ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
85,UGAAINV05ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
86,UGAAINV05DC1A,DC Current Input 1,A,DOUBLE,number
87,UGAAINV05DC1V,DC Voltage Input 1,V,DOUBLE,number
88,UGAAINV05DC1W,DC Power Input 1,W,DOUBLE,number
89,UGAAINV05ACW,Active Power Across all lines,W,DOUBLE,number
90,UGAAINV05ACL1V,Grid Voltage L1 to N,V,DOUBLE,number
91,UGAAINV05ACL2V,Grid Voltage L2 to N,V,DOUBLE,number
92,UGAAINV05ACL3V,Grid Voltage L3 to N,V,DOUBLE,number
93,UGAAINV05ACL1A,Grid Current L1,A,DOUBLE,number
94,UGAAINV05ACL2A,Grid Current L2,A,DOUBLE,number
95,UGAAINV05ACL3A,Grid Current L3,A,DOUBLE,number
96,UGAAINV05ACVAR,Reactive Power across all lines,Var,DOUBLE,number
97,UGAAINV05DC2A,DC Current Input 2,I,DOUBLE,number
98,UGAAINV05DC2V,DC Voltage Input 2,V,DOUBLE,number
99,UGAAINV05DC2W,DC Power Input 2,W,DOUBLE,number
100,UGAAINV05ERR,Error Code,,DOUBLE,number
101,UGAAINV06INVSTATUS,Device Status,,DOUBLE,number
102,UGAAINV06ACBKRSTATUS,Utility Grid Contactor State,BOOL,DOUBLE,number
103,UGAAINV06ACLIFEKWH,Energy Inception to Date,kWh,DOUBLE,number
